Ca thi,Ngày,GIỜ,MS Ca thi,Nhiệm vụ,MS của CÁN BỘ COI THI,Thời gian,Thứ,Cơ sở
"Thứ 2, 18/05/2026, Ca 5: 18g15-20g45",2026-05-18 00:00:00,18g15,20260518_5,LTK_CBCT,CB001,150,Thứ 2,Cơ sở 1
"Thứ 2, 18/05/2026, Ca 5: 18g15-20g45",2026-05-18 00:00:00,18g15,20260518_5,LTK_CBCT,CB002,150,Thứ 2,Cơ sở 1
"Thứ 3, 19/05/2026, Ca 5: 18g15-20g45",2026-05-19 00:00:00,18g15,20260519_5,LTK_CBCT,CB003,150,Thứ 3,Cơ sở 1
"Thứ 3, 19/05/2026, Ca 5: 18g15-20g45",2026-05-19 00:00:00,18g15,20260519_5,LTK_CBCT,CB004,150,Thứ 3,Cơ sở 1
"Thứ 3, 19/05/2026, Ca 5: 18g15-20g45",2026-05-19 00:00:00,18g15,20260519_5,LTK_CBCT,CB005,150,Thứ 3,Cơ sở 1
"Thứ 5, 21/05/2026, Ca 5: 18g15-20g45",2026-05-21 00:00:00,18g15,20260521_5,LTK_CBCT,CB004,150,Thứ 5,Cơ sở 1
"Thứ 5, 21/05/2026, Ca 5: 18g15-20g45",2026-05-21 00:00:00,18g15,20260521_5,LTK_CBCT,CB005,150,Thứ 5,Cơ sở 1
"Thứ 6, 22/05/2026, Ca 5: 18g15-20g45",2026-05-22 00:00:00,18g15,20260522_5,LTK_CBCT,CB002,150,Thứ 6,Cơ sở 1
"Thứ 6, 22/05/2026, Ca 5: 18g15-20g45",2026-05-22 00:00:00,18g15,20260522_5,LTK_CBCT,CB006,150,Thứ 6,Cơ sở 1
"Thứ 7, 23/05/2026, Ca 3: 13g00-15g30",2026-05-23 00:00:00,13g00,20260523_3,LTK_CBCT,CB007,150,Thứ 7,Cơ sở 1
"Thứ 7, 23/05/2026, Ca 3: 13g00-15g30",2026-05-23 00:00:00,13g00,20260523_3,LTK_CBCT,CB008,150,Thứ 7,Cơ sở 1
"Thứ 7, 23/05/2026, Ca 3: 13g00-15g30",2026-05-23 00:00:00,13g00,20260523_3,LTK_CBCT,CB005,150,Thứ 7,Cơ sở 1
"Thứ 7, 23/05/2026, Ca 3: 13g00-15g30",2026-05-23 00:00:00,13g00,20260523_3,LTK_CBCT,CB002,150,Thứ 7,Cơ sở 1
"Thứ 7, 23/05/2026, Ca 3: 13g00-15g30",2026-05-23 00:00:00,13g00,20260523_3,LTK_CBCT,CB003,150,Thứ 7,Cơ sở 1
"Thứ 7, 23/05/2026, Ca 3: 13g00-15g30",2026-05-23 00:00:00,13g00,20260523_3,LTK_CBCT,CB004,150,Thứ 7,Cơ sở 1
"Thứ 2, 25/05/2026, Ca 2: 09g30-12g00",2026-05-25 00:00:00,09g30,20260525_2,DiAn_CBCT,CB009,150,Thứ 2,Cơ sở 2
"Thứ 2, 25/05/2026, Ca 2: 09g30-12g00",2026-05-25 00:00:00,09g30,20260525_2,DiAn_CBCT,CB010,150,Thứ 2,Cơ sở 2
"Thứ 2, 25/05/2026, Ca 2: 09g30-12g00",2026-05-25 00:00:00,09g30,20260525_2,DiAn_CBCT,CB011,150,Thứ 2,Cơ sở 2
"Thứ 2, 25/05/2026, Ca 2: 09g30-12g00",2026-05-25 00:00:00,09g30,20260525_2,DiAn_CBCT,CB012,150,Thứ 2,Cơ sở 2
"Thứ 2, 25/05/2026, Ca 2: 09g30-12g00",2026-05-25 00:00:00,09g30,20260525_2,DiAn_CBCT,CB013,150,Thứ 2,Cơ sở 2
"Thứ 2, 25/05/2026, Ca 2: 09g30-12g00",2026-05-25 00:00:00,09g30,20260525_2,DiAn_CBCT,CB014,150,Thứ 2,Cơ sở 2
"Thứ 2, 25/05/2026, Ca 2: 09g30-12g00",2026-05-25 00:00:00,09g30,20260525_2,DiAn_CBCT,CB015,150,Thứ 2,Cơ sở 2
"Thứ 2, 25/05/2026, Ca 2: 09g30-12g00",2026-05-25 00:00:00,09g30,20260525_2,DiAn_CBCT,CB016,150,Thứ 2,Cơ sở 2
"Thứ 2, 25/05/2026, Ca 2: 09g30-12g00",2026-05-25 00:00:00,09g30,20260525_2,DiAn_CBCT,CB017,150,Thứ 2,Cơ sở 2
"Thứ 2, 25/05/2026, Ca 2: 09g30-12g00",2026-05-25 00:00:00,09g30,20260525_2,DiAn_CBCT,CB018,150,Thứ 2,Cơ sở 2
"Thứ 2, 25/05/2026, Ca 2: 09g30-12g00",2026-05-25 00:00:00,09g30,20260525_2,DiAn_CBCT,CB019,150,Thứ 2,Cơ sở 2
"Thứ 2, 25/05/2026, Ca 2: 09g30-12g00",2026-05-25 00:00:00,09g30,20260525_2,DiAn_CBCT,CB020,150,Thứ 2,Cơ sở 2
